,0,1,2,3,4
0,2021-03-07 13:41:17,RT @BangaloreMirror: K Sudhakar said that there would be strict restrictions on public gatherings and contact tracing would be increased on…,Bangalored_,,en
1,2021-03-07 13:41:09,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,alanmsdvijay,,en
2,2021-03-07 13:41:08,"RT @NammurOfficial: The roots of this area dates back to the 16th century! Famous for its array of saree shops, they come in a variety of s…",PriyankKharge,,en
3,2021-03-07 13:41:06,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",NavalsinghKane2,,en
4,2021-03-07 13:41:05,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",PoojaYa10361065,"Maharashtra, India",en
5,2021-03-07 13:40:45,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",SHIWP,"Bihar, India",en
6,2021-03-07 13:40:39,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",MohdIsm24706666,,en
7,2021-03-07 13:40:27,@Dharma2X @RamyaBhat26 @rvaidya2000 @ranganaathan @ragusmg2 Instead of it EXCHANGE LOCAL DRIVERS AT BORDERS TO WARD… https://t.co/e9tZQvhd5H,NShankarnarayan,,en
8,2021-03-07 13:40:26,RT @TOIBengaluru: H D Kumaraswamy hits out at attempts to bring petroleum products under GST https://t.co/jQOK8fDr8x,ChannelsLv,,en
9,2021-03-07 13:40:23,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",MohdAanis1,,en
10,2021-03-07 13:40:17,"RT @Sportskeeda: 🔹 The 56 league matches will be played across 6️⃣ centres - Ahmedabad, Bengaluru, Chennai, Delhi, Mumbai and Kolkata

🔸 Th…",kumarkokEee,,en
11,2021-03-07 13:40:11,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",Vikas32947582,,en
12,2021-03-07 13:39:50,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",sainath43512014,,en
13,2021-03-07 13:39:49,"RT @TheJaggi: Watch Bengaluru's dynamic MP @Tejasvi_Surya, Ashok Haranahalli, former AG of Karnataka, and me at a panel discussion on One n…",suraj_mariner,Hindustan,en
14,2021-03-07 13:39:45,@Rajeshkharvi97 @mufaddal_vohra Also Kl rahul has fabulous record at mumbai bengaluru and chepauk where they would… https://t.co/luaLnHTkHy,Nahi___bataunga,India,en
15,2021-03-07 13:39:40,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",Kalpesh63520042, Gujrath India,en
16,2021-03-07 13:39:40,"Woman abused, slipper thrown at her for feeding stray dogs in Bengaluru https://t.co/QawF9nA0Yu",Shishir_rao97,"Bengaluru, India",en
17,2021-03-07 13:39:37,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",SeethaKumari9,"Pondicherry, India",en
18,2021-03-07 13:39:37,"Woman abused, slipper thrown at her for feeding stray dogs in Bengaluru https://t.co/N39DrcR380",thenewsminute,Bengaluru,en
19,2021-03-07 13:39:06,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",Vikash11281981,,en
20,2021-03-07 13:39:03,RT @pavanaja: Bengaluru Techie Writes Open Letter To PM Modi To Stop Legal Extortion By Wives From Men &amp; Their Families via @MensDayOutIndi…,Opinder1Singh,,en
21,2021-03-07 13:38:21,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",Sarwar33644020,,en
22,2021-03-07 13:38:21,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",patial_harry,"Melbourne, Victoria",en
23,2021-03-07 13:38:09,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",MohdYou27252769,,en
24,2021-03-07 13:38:03,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",ShivamR43737379,"Gondia, India",en
25,2021-03-07 13:37:54,RT @Equateall: When will Bengaluru citizens stop dumping garbage at night on streets? Why can't these people handover garbage at door step?…,CitizenBLR301,Bangalore,en
